payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
23/03/2023,14/03/2023,0.2,0.2,DIV
14/12/2022,21/11/2022,1.73,1.73,DIV
14/12/2022,21/11/2022,0.42,0.357,JCP
25/08/2022,15/08/2022,0.71,0.71,DIV
25/05/2022,16/05/2022,0.57,0.48449999999999993,JCP
16/03/2022,07/03/2022,0.2,0.2,DIV
16/11/2021,05/11/2021,0.2,0.17,JCP
16/11/2021,05/11/2021,1.42,1.42,DIV
16/11/2021,27/09/2021,0.38,0.323,JCP
26/08/2021,16/08/2021,0.54,0.54,DIV
26/05/2021,14/05/2021,0.4,0.4,DIV
25/03/2021,11/03/2021,0.13,0.1105,JCP
25/03/2021,21/12/2020,0.17,0.14450000000000002,JCP
18/11/2020,06/11/2020,0.12,0.12,DIV
11/03/2020,28/02/2020,0.03,0.03,DIV
25/11/2019,11/11/2019,0.04,0.04,DIV
28/09/2019,16/08/2019,0.07,0.07,DIV
29/05/2019,17/05/2019,0.07,0.07,DIV
18/03/2019,06/03/2019,0.1,0.1,DIV
03/12/2018,21/11/2018,0.13,0.13,DIV
31/08/2018,21/08/2018,0.14,0.11900000000000001,JCP
01/06/2018,21/05/2018,0.08,0.068,JCP
21/03/2018,09/03/2018,0.03,0.03,DIV
